team_home,team_away,match_date,close_time,status,stage,home_score,away_score,group_name
México,Sudáfrica,2026-06-11 14:00:00,2026-06-11 02:00:00,scheduled,Group Stage,,,Grupo A
Corea del Sur,República Checa,2026-06-11 21:00:00,2026-06-11 09:00:00,scheduled,Group Stage,,,Grupo A
Canadá,Bosnia y Herzegovina,2026-06-12 14:00:00,2026-06-12 02:00:00,scheduled,Group Stage,,,Grupo B
Estados Unidos,Paraguay,2026-06-12 20:00:00,2026-06-12 08:00:00,scheduled,Group Stage,,,Grupo D
Qatar,Suiza,2026-06-13 14:00:00,2026-06-13 02:00:00,scheduled,Group Stage,,,Grupo B
Brasil,Marruecos,2026-06-13 17:00:00,2026-06-13 05:00:00,scheduled,Group Stage,,,Grupo C
Haití,Escocia,2026-06-13 20:00:00,2026-06-13 08:00:00,scheduled,Group Stage,,,Grupo C
Australia,Turquía,2026-06-13 23:00:00,2026-06-13 11:00:00,scheduled,Group Stage,,,Grupo D
Alemania,Curazao,2026-06-14 12:00:00,2026-06-14 00:00:00,scheduled,Group Stage,,,Grupo E
Países Bajos,Japón,2026-06-14 15:00:00,2026-06-14 03:00:00,scheduled,Group Stage,,,Grupo F
Costa de Marfil,Ecuador,2026-06-14 18:00:00,2026-06-14 06:00:00,scheduled,Group Stage,,,Grupo E
Suecia,Túnez,2026-06-14 21:00:00,2026-06-14 09:00:00,scheduled,Group Stage,,,Grupo F
España,Cabo Verde,2026-06-15 11:00:00,2026-06-14 23:00:00,scheduled,Group Stage,,,Grupo H
Bélgica,Egipto,2026-06-15 14:00:00,2026-06-15 02:00:00,scheduled,Group Stage,,,Grupo G
Arabia Saudita,Uruguay,2026-06-15 17:00:00,2026-06-15 05:00:00,scheduled,Group Stage,,,Grupo H
Irán,Nueva Zelanda,2026-06-15 20:00:00,2026-06-15 08:00:00,scheduled,Group Stage,,,Grupo G
Francia,Senegal,2026-06-16 14:00:00,2026-06-16 02:00:00,scheduled,Group Stage,,,Grupo I
Irak,Noruega,2026-06-16 17:00:00,2026-06-16 05:00:00,scheduled,Group Stage,,,Grupo I
Argentina,Argelia,2026-06-16 20:00:00,2026-06-16 08:00:00,scheduled,Group Stage,,,Grupo J
Austria,Jordania,2026-06-16 23:00:00,2026-06-16 11:00:00,scheduled,Group Stage,,,Grupo J
Portugal,RD de Congo,2026-06-17 12:00:00,2026-06-17 00:00:00,scheduled,Group Stage,,,Grupo K
Inglaterra,Croacia,2026-06-17 15:00:00,2026-06-17 03:00:00,scheduled,Group Stage,,,Grupo L
Ghana,Panamá,2026-06-17 18:00:00,2026-06-17 06:00:00,scheduled,Group Stage,,,Grupo L
Uzbekistán,Colombia,2026-06-17 21:00:00,2026-06-17 09:00:00,scheduled,Group Stage,,,Grupo K
República Checa,Sudáfrica,2026-06-18 11:00:00,2026-06-17 23:00:00,scheduled,Group Stage,,,Grupo A
Suiza,Bosnia y Herzegovina,2026-06-18 14:00:00,2026-06-18 02:00:00,scheduled,Group Stage,,,Grupo B
Canadá,Qatar,2026-06-18 17:00:00,2026-06-18 05:00:00,scheduled,Group Stage,,,Grupo B
